model,outlier_count_csv,n_outliers_parsed,n_graph_distance_defined,n_graph_distance_missing,outliers_missing_graph_distance,mean_graph_distance_to_outliers
lmsys/vicuna-7b-v1.5-16k,34,34,4,30,PharMolix/BioMedGPT-LM-7B | TinyLlama/TinyLlama-1.1B-intermediate-step-1431k-3T | TinyLlama/TinyLlama-1.1B-Chat-v1.0 | AdaptLLM/medicine-LLM | TinyLlama/TinyLlama-1.1B-Chat-v0.5 | TinyLlama/TinyLlama_v1.1 | TinyLlama/TinyLlama_v1.1_math_code | mistralai/Mistral-7B-v0.1 | flemmingmiguel/MBX-7B-v3 | AiMavenAi/AiMaven-Prometheus | shadowml/BeagSake-7B | shadowml/BeagleSempra-7B | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | Nexusflow/Starling-LM-7B-beta | mlabonne/Marcoro14-7B-slerp | bardsai/jaskier-7b-dpo-v5.6 | fblgit/UNA-TheBeagle-7b-v1 | mlabonne/OmniBeagle-7B | CorticalStack/pastiche-crown-clown-7b-dare | CorticalStack/pastiche-crown-clown-7b-dare-dpo | BioMistral/BioMistral-7B | SciPhi/SciPhi-Mistral-7B-32k | CultriX/NeuralTrix-7B-dpo | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-1 | mlabonne/NeuralBeagle14-7B | FelixChao/Sectumsempra-7B-DPO,
meta-llama/Llama-3.1-8B-Instruct,26,26,15,11,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | S4nfs/Neeto-1.0-8b | acon96/Home-Llama-3.2-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,
meta-llama/Llama-3.2-1B-Instruct,31,31,11,20,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | aisingapore/Llama-SEA-LION-v3-8B | allenai/llama-3.1-tulu-2-8b | dphn/Dolphin3.0-Llama3.1-8B | nvidia/OpenMath2-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | microsoft/UserLM-8b | HuggingFaceTB/SmolLM3-3B-Base | NousResearch/Hermes-3-Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | elyza/Llama-3-ELYZA-JP-8B | HuggingFaceTB/SmolLM3-3B | S4nfs/Neeto-1.0-8b,
meta-llama/Llama-3.2-3B-Instruct,25,25,10,15,arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | aisingapore/Llama-SEA-LION-v3-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | allenai/llama-3.1-tulu-2-8b | microsoft/UserLM-8b | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | HuggingFaceTB/SmolLM3-3B,
meta-llama/Llama-Guard-3-8B,32,32,16,16,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | S4nfs/Neeto-1.0-8b | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | beruniy/Llama-3.2-3B-Instruct-Uz | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit,
meta-llama/Llama-3.1-8B,33,33,16,17,S4nfs/Neeto-1.0-8b | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | acon96/Home-Llama-3.2-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | HuggingFaceTB/SmolLM3-3B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct,
microsoft/UserLM-8b,28,28,15,13,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | S4nfs/Neeto-1.0-8b | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | HuggingFaceTB/SmolLM3-3B-Base | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,
mistralai/Mistral-7B-Instruct-v0.1,31,31,8,23,kevin009/llamaRAGdrama | Biomimicry-AI/ANIMA-Nectar-v2 | argilla/distilabeled-Marcoro14-7B-slerp | shadowml/WestBeagle-7B | shadowml/BeagSake-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagleSempra-7B | mlabonne/Marcoro14-7B-slerp | mlabonne/Beagle14-7B | mlabonne/OmniBeagle-7B | AiMavenAi/AiMaven-Prometheus | fblgit/UNA-TheBeagle-7b-v1 | flemmingmiguel/MBX-7B-v3 | FelixChao/Sectumsempra-7B-DPO | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | CultriX/NeuralTrix-7B-dpo | Nexusflow/Starling-LM-7B-beta | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-bf16 | berkeley-nest/Starling-LM-7B-alpha | dicta-il/dictalm2.0,
mistralai/Mistral-7B-v0.1,32,32,8,24,mlabonne/Marcoro14-7B-slerp | argilla/distilabeled-Marcoro14-7B-slerp | mlabonne/Beagle14-7B | shadowml/WestBeagle-7B | fblgit/UNA-TheBeagle-7b-v1 | shadowml/BeagSake-7B | mlabonne/NeuralBeagle14-7B | shadowml/BeagleSempra-7B | FelixChao/Sectumsempra-7B-DPO | AiMavenAi/AiMaven-Prometheus | flemmingmiguel/MBX-7B-v3 | kevin009/llamaRAGdrama | mlabonne/OmniBeagle-7B | Nexusflow/Starling-LM-7B-beta | CorticalStack/pastiche-crown-clown-7b-dare | bardsai/jaskier-7b-dpo-v5.6 | eren23/ogno-monarch-jaskier-merge-7b-OH-PREF-DPO | berkeley-nest/Starling-LM-7B-alpha | CorticalStack/pastiche-crown-clown-7b-dare-dpo | CultriX/NeuralTrix-7B-dpo | CultriX/NeuralTrix-bf16 | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
mlabonne/Beagle14-7B,34,34,17,17,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | deepseek-ai/deepseek-coder-1.3b-base,
mlabonne/Marcoro14-7B-slerp,32,32,17,15,mistralai/Mistral-7B-v0.1 | kevin009/llamaRAGdrama | Nexusflow/Starling-LM-7B-beta | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | Intel/neural-chat-7b-v3-1 | BioMistral/BioMistral-7B-DARE | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | mistralai/Mistral-7B-Instruct-v0.1 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
mlabonne/NeuralBeagle14-7B,34,34,17,17,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | lmsys/vicuna-7b-v1.1 | deepseek-ai/deepseek-coder-1.3b-base,
mlabonne/OmniBeagle-7B,32,32,17,15,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Intel/neural-chat-7b-v3-1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | dicta-il/dictalm2.0 | BioMistral/BioMistral-7B | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
nvidia/Llama-3.1-8B-Instruct-FP8,13,13,0,13,adamo1139/Apertus-8B-Instruct-2509-ungated | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-1b7 | 01-ai/Yi-6B | 01-ai/Yi-6B-200K,
nvidia/OpenCodeReasoning-Nemotron-1.1-7B,11,11,11,0,,2.181818
nvidia/OpenCodeReasoning-Nemotron-7B,13,13,13,0,,3.769231
nvidia/OpenMath-Nemotron-1.5B,7,7,7,0,,4.857143
nvidia/OpenMath2-Llama3.1-8B,28,28,15,13,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | S4nfs/Neeto-1.0-8b | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | HuggingFaceTB/SmolLM3-3B-Base | HuggingFaceTB/SmolLM3-3B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit,
nvidia/OpenReasoning-Nemotron-1.5B,13,13,13,0,,5.153846
shadowml/BeagSake-7B,34,34,17,17,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | SciPhi/SciPhi-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | PharMolix/BioMedGPT-LM-7B | deepseek-ai/deepseek-coder-1.3b-base | lmsys/vicuna-7b-v1.1,
shadowml/BeagleSempra-7B,32,32,17,15,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | berkeley-nest/Starling-LM-7B-alpha | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-1 | Intel/neural-chat-7b-v3-3 | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Mistral-7B-32k | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B-DARE | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
shadowml/WestBeagle-7B,32,32,17,15,kevin009/llamaRAGdrama | mistralai/Mistral-7B-v0.1 | Nexusflow/Starling-LM-7B-beta | Intel/neural-chat-7b-v3-3 | berkeley-nest/Starling-LM-7B-alpha | HuggingFaceH4/zephyr-7b-beta | SciPhi/SciPhi-Self-RAG-Mistral-7B-32k | Intel/neural-chat-7b-v3-1 | SciPhi/SciPhi-Mistral-7B-32k | BioMistral/BioMistral-7B-DARE | mistralai/Mistral-7B-Instruct-v0.1 | BioMistral/BioMistral-7B | dicta-il/dictalm2.0 | Biomimicry-AI/ANIMA-Nectar-v2 | deepseek-ai/deepseek-coder-1.3b-base,
swiss-ai/Apertus-8B-2509,11,11,1,10,bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-560m | chatitcloud/UZI1 | google/gemma-3-1b-pt | google/gemma-3-270m | google/gemma-3-4b-it | google/gemma-3-4b-pt | nvidia/Llama-3.1-8B-Instruct-FP8 | kevin009/llamaRAGdrama,
unsloth/Llama-3.1-8B,33,33,16,17,S4nfs/Neeto-1.0-8b | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | inference-net/Schematron-3B | acon96/Home-Llama-3.2-3B | HuggingFaceTB/SmolLM3-3B-Base | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | HuggingFaceTB/SmolLM3-3B,
unsloth/Llama-3.2-1B-Instruct,27,27,11,16,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | microsoft/UserLM-8b | gradientai/Llama-3-8B-Instruct-262k | elyza/Llama-3-ELYZA-JP-8B | allenai/llama-3.1-tulu-2-8b | dphn/Dolphin3.0-Llama3.1-8B | HuggingFaceTB/SmolLM3-3B-Base | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | HuggingFaceTB/SmolLM3-3B,
unsloth/Llama-3.2-3B-Instruct,27,27,10,17,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | allenai/llama-3.1-tulu-2-8b | microsoft/UserLM-8b | dphn/Dolphin3.0-Llama3.1-8B | gradientai/Llama-3-8B-Instruct-262k | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | S4nfs/Neeto-1.0-8b,
unsloth/Meta-Llama-3.1-8B-Instruct,26,26,15,11,unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | acon96/Home-Llama-3.2-3B | S4nfs/Neeto-1.0-8b | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | inference-net/Schematron-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | unsloth/Llama-3.2-3B-Instruct-bnb-4bit,
unsloth/Qwen2.5-0.5B-Instruct,4,4,4,0,,4.25
unsloth/Qwen2.5-1.5B,26,26,25,1,beyoru/Luna,
unsloth/Qwen2.5-1.5B-Instruct,20,20,19,1,beyoru/Luna,
unsloth/Qwen2.5-Math-1.5B,17,17,17,0,,9.588235
google/gemma-2-2b,12,12,5,7,adamo1139/Apertus-8B-Instruct-2509-ungated | nvidia/Llama-3.1-8B-Instruct-FP8 | swiss-ai/Apertus-8B-2509 | bigscience/bloomz-560m | bigscience/bloom-560m | bigscience/bloomz-1b1 | bigscience/bloomz-1b7,
Qwen/Qwen2.5-Coder-0.5B,16,16,16,0,,11.3125
unsloth/Qwen2.5-0.5B-Instruct-bnb-4bit,14,14,13,1,beyoru/Luna,
unsloth/Qwen2.5-1.5B-unsloth-bnb-4bit,24,24,23,1,beyoru/Luna,
unsloth/Qwen2.5-1.5B-Instruct-bnb-4bit,19,19,18,1,beyoru/Luna,
unsloth/Qwen2.5-1.5B-Instruct-unsloth-bnb-4bit,25,25,24,1,beyoru/Luna,
unsloth/Qwen2.5-Math-1.5B-bnb-4bit,22,22,21,1,beyoru/Luna,
unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit,27,27,10,17,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | microsoft/UserLM-8b | dphn/Dolphin3.0-Llama3.1-8B | nvidia/OpenMath2-Llama3.1-8B | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | S4nfs/Neeto-1.0-8b | allenai/llama-3.1-tulu-2-8b | elyza/Llama-3-ELYZA-JP-8B | gradientai/Llama-3-8B-Instruct-262k,
unsloth/Llama-3.2-1B-Instruct-bnb-4bit,25,25,11,14,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | arcee-ai/Llama-3.1-SuperNova-Lite | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | aisingapore/Llama-SEA-LION-v3-8B | nvidia/OpenMath2-Llama3.1-8B | microsoft/UserLM-8b | elyza/Llama-3-ELYZA-JP-8B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | allenai/llama-3.1-tulu-2-8b | gradientai/Llama-3-8B-Instruct-262k | dphn/Dolphin3.0-Llama3.1-8B,
unsloth/Llama-3.2-3B-Instruct-bnb-4bit,34,34,11,23,arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | aisingapore/Llama-SEA-LION-v3-8B | microsoft/UserLM-8b | nvidia/OpenMath2-Llama3.1-8B | elyza/Llama-3-ELYZA-JP-8B | allenai/llama-3.1-tulu-2-8b | gradientai/Llama-3-8B-Instruct-262k | dphn/Dolphin3.0-Llama3.1-8B | askfjhaskjgh/UbermenschetienASI | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | allenai/Llama-3.1-Tulu-3-8B-SFT | S4nfs/Neeto-1.0-8b | NousResearch/Hermes-3-Llama-3.1-8B | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base | meta-llama/Llama-Guard-3-8B,
unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit,23,23,10,13,arcee-ai/Llama-3.1-SuperNova-Lite | context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit | unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit | elyza/Llama-3-ELYZA-JP-8B | nvidia/OpenMath2-Llama3.1-8B | dphn/Dolphin3.0-Llama3.1-8B | microsoft/UserLM-8b | aisingapore/Llama-SEA-LION-v3-8B | allenai/llama-3.1-tulu-2-8b | gradientai/Llama-3-8B-Instruct-262k,
unsloth/Meta-Llama-3.1-8B-Instruct-bnb-4bit,31,31,1,30,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | microsoft/UserLM-8b | allenai/llama-3.1-tulu-2-8b | acon96/Home-Llama-3.2-3B | inference-net/Schematron-3B | elyza/Llama-3-ELYZA-JP-8B | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | gradientai/Llama-3-8B-Instruct-262k | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | allenai/Llama-3.1-Tulu-3-8B-SFT | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | dphn/Dolphin3.0-Llama3.1-8B | nvidia/OpenMath2-Llama3.1-8B | S4nfs/Neeto-1.0-8b | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | meta-llama/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct | unsloth/Llama-3.2-1B-Instruct-bnb-4bit | unsloth/Llama-3.2-1B-Instruct-unsloth-bnb-4bit | NousResearch/Hermes-3-Llama-3.1-8B | askfjhaskjgh/UbermenschetienASI | HuggingFaceTB/SmolLM3-3B,
unsloth/Meta-Llama-3.1-8B-Instruct-unsloth-bnb-4bit,28,28,1,27,context-labs/Meta-Llama-3.1-8B-Instruct-FP16 | meta-llama/Llama-3.1-8B-Instruct | unsloth/Meta-Llama-3.1-8B-Instruct | arcee-ai/Llama-3.1-SuperNova-Lite | aisingapore/Llama-SEA-LION-v3-8B | microsoft/UserLM-8b | allenai/llama-3.1-tulu-2-8b | allenai/Llama-3.1-Tulu-3-8B-SFT | meta-llama/Llama-3.1-8B | unsloth/Llama-3.1-8B | elyza/Llama-3-ELYZA-JP-8B | gradientai/Llama-3-8B-Instruct-262k | S4nfs/Neeto-1.0-8b | nvidia/OpenMath2-Llama3.1-8B | dphn/Dolphin3.0-Llama3.1-8B | NousResearch/Hermes-3-Llama-3.1-8B | inference-net/Schematron-3B | deepseek-ai/DeepSeek-R1-Distill-Llama-8B | acon96/Home-Llama-3.2-3B | unsloth/Llama-3.2-3B-Instruct-bnb-4bit | Menlo/ReZero-v0.1-llama-3.2-3b-it-grpo-250404 | unsloth/Llama-3.2-3B-Instruct-unsloth-bnb-4bit | askfjhaskjgh/UbermenschetienASI | meta-llama/Llama-3.2-3B-Instruct | unsloth/Llama-3.2-3B-Instruct | HuggingFaceTB/SmolLM3-3B | HuggingFaceTB/SmolLM3-3B-Base,
