model1,model2,graph_distance
Qwen/Qwen2.5-Coder-1.5B-Instruct,tiiuae/Falcon3-1B-Instruct,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Llama-3.2-1B,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Qwen2.5-0.5B,14.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,13.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Qwen2.5-1.5B,3.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,4.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Qwen2.5-Math-1.5B,4.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Qwen2.5-Math-7B-Instruct,15.0
Qwen/Qwen2.5-Coder-1.5B-Instruct,unsloth/Qwen3-1.7B-Base,14.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen2.5-Coder-3B-Instruct,1.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen2.5-Coder-7B,12.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen2.5-Math-1.5B,12.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen2.5-Math-1.5B-Instruct,13.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen2.5-Math-7B,12.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen2.5-Math-7B-Instruct,13.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen3-1.7B,11.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen3-1.7B-Base,12.0
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen3-4B,
Qwen/Qwen2.5-Coder-3B,Qwen/Qwen3-4B-Base,
Qwen/Qwen2.5-Coder-3B,SakanaAI/TinySwallow-1.5B,13.0
Qwen/Qwen2.5-Coder-3B,Writer/palmyra-mini,12.0
Qwen/Qwen2.5-Coder-3B,acon96/Home-Llama-3.2-3B,
Qwen/Qwen2.5-Coder-3B,aisingapore/Llama-SEA-LION-v3-8B,
Qwen/Qwen2.5-Coder-3B,allenai/Llama-3.1-Tulu-3-8B,
Qwen/Qwen2.5-Coder-3B,allenai/Llama-3.1-Tulu-3-8B-DPO,
Qwen/Qwen2.5-Coder-3B,allenai/Llama-3.1-Tulu-3-8B-SFT,
Qwen/Qwen2.5-Coder-3B,allenai/llama-3.1-tulu-2-8b,
Qwen/Qwen2.5-Coder-3B,arcee-ai/Llama-3.1-SuperNova-Lite,
Qwen/Qwen2.5-Coder-3B,arcee-ai/Meraj-Mini,13.0
Qwen/Qwen2.5-Coder-3B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Qwen/Qwen2.5-Coder-3B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,13.0
Qwen/Qwen2.5-Coder-3B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-3B,dnotitia/Smoothie-Qwen3-1.7B,12.0
Qwen/Qwen2.5-Coder-3B,dphn/Dolphin3.0-Llama3.1-8B,
Qwen/Qwen2.5-Coder-3B,google/gemma-2-2b,
Qwen/Qwen2.5-Coder-3B,google/gemma-2-2b-it,
Qwen/Qwen2.5-Coder-3B,google/gemma-2-2b-jpn-it,
Qwen/Qwen2.5-Coder-3B,inference-net/Schematron-3B,
Qwen/Qwen2.5-Coder-3B,meta-llama/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-3B,meta-llama/Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Coder-3B,meta-llama/Llama-3.2-1B,
Qwen/Qwen2.5-Coder-3B,meta-llama/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Coder-3B,meta-llama/Llama-3.2-3B,
Qwen/Qwen2.5-Coder-3B,meta-llama/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Coder-3B,meta-llama/Llama-Guard-3-8B,
Qwen/Qwen2.5-Coder-3B,meta-llama/Meta-Llama-3-8B,
Qwen/Qwen2.5-Coder-3B,meta-llama/Meta-Llama-3-8B-Instruct,
Qwen/Qwen2.5-Coder-3B,meta-llama/Meta-Llama-3.2-3B,
Qwen/Qwen2.5-Coder-3B,microsoft/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Coder-3B,microsoft/UserLM-8b,
Qwen/Qwen2.5-Coder-3B,mistralai/Mistral-7B-Instruct-v0.2,
Qwen/Qwen2.5-Coder-3B,mistralai/Mistral-7B-Instruct-v0.3,
Qwen/Qwen2.5-Coder-3B,mistralai/Mistral-7B-v0.1,
Qwen/Qwen2.5-Coder-3B,mistralai/Mistral-7B-v0.3,
Qwen/Qwen2.5-Coder-3B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Qwen/Qwen2.5-Coder-3B,nvidia/DLER-R1-1.5B-Research,
Qwen/Qwen2.5-Coder-3B,nvidia/Llama-3.1-8B-Instruct-FP8,
Qwen/Qwen2.5-Coder-3B,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Qwen/Qwen2.5-Coder-3B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,13.0
Qwen/Qwen2.5-Coder-3B,nvidia/OpenCodeReasoning-Nemotron-7B,13.0
Qwen/Qwen2.5-Coder-3B,nvidia/OpenMath-Nemotron-1.5B,13.0
Qwen/Qwen2.5-Coder-3B,nvidia/OpenMath2-Llama3.1-8B,
Qwen/Qwen2.5-Coder-3B,nvidia/OpenReasoning-Nemotron-1.5B,12.0
Qwen/Qwen2.5-Coder-3B,tiiuae/Falcon3-1B-Base,
Qwen/Qwen2.5-Coder-3B,tiiuae/Falcon3-1B-Instruct,
Qwen/Qwen2.5-Coder-3B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-3B,unsloth/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-3B,unsloth/Llama-3.2-1B,
Qwen/Qwen2.5-Coder-3B,unsloth/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Coder-3B,unsloth/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Coder-3B,unsloth/Meta-Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Coder-3B,unsloth/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Coder-3B,unsloth/Qwen2.5-0.5B,13.0
Qwen/Qwen2.5-Coder-3B,unsloth/Qwen2.5-0.5B-Instruct,12.0
Qwen/Qwen2.5-Coder-3B,unsloth/Qwen2.5-1.5B,12.0
Qwen/Qwen2.5-Coder-3B,unsloth/Qwen2.5-1.5B-Instruct,13.0
Qwen/Qwen2.5-Coder-3B,unsloth/Qwen2.5-Math-1.5B,13.0
Qwen/Qwen2.5-Coder-3B,unsloth/Qwen2.5-Math-7B-Instruct,14.0
Qwen/Qwen2.5-Coder-3B,unsloth/Qwen3-1.7B-Base,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Coder-7B,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Math-1.5B,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Math-1.5B-Instruct,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Math-7B,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen3-1.7B,12.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen3-1.7B-Base,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen3-4B,
Qwen/Qwen2.5-Coder-3B-Instruct,Qwen/Qwen3-4B-Base,
Qwen/Qwen2.5-Coder-3B-Instruct,SakanaAI/TinySwallow-1.5B,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,Writer/palmyra-mini,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,acon96/Home-Llama-3.2-3B,
Qwen/Qwen2.5-Coder-3B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,allenai/Llama-3.1-Tulu-3-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,allenai/Llama-3.1-Tulu-3-8B-DPO,
Qwen/Qwen2.5-Coder-3B-Instruct,allenai/Llama-3.1-Tulu-3-8B-SFT,
Qwen/Qwen2.5-Coder-3B-Instruct,allenai/llama-3.1-tulu-2-8b,
Qwen/Qwen2.5-Coder-3B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,
Qwen/Qwen2.5-Coder-3B-Instruct,arcee-ai/Meraj-Mini,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Qwen/Qwen2.5-Coder-3B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-3B-Instruct,dnotitia/Smoothie-Qwen3-1.7B,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,dphn/Dolphin3.0-Llama3.1-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,google/gemma-2-2b,
Qwen/Qwen2.5-Coder-3B-Instruct,google/gemma-2-2b-it,
Qwen/Qwen2.5-Coder-3B-Instruct,google/gemma-2-2b-jpn-it,
Qwen/Qwen2.5-Coder-3B-Instruct,inference-net/Schematron-3B,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Llama-3.2-1B,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Llama-3.2-3B,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Llama-Guard-3-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Meta-Llama-3-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Meta-Llama-3-8B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,meta-llama/Meta-Llama-3.2-3B,
Qwen/Qwen2.5-Coder-3B-Instruct,microsoft/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,microsoft/UserLM-8b,
Qwen/Qwen2.5-Coder-3B-Instruct,mistralai/Mistral-7B-Instruct-v0.2,
Qwen/Qwen2.5-Coder-3B-Instruct,mistralai/Mistral-7B-Instruct-v0.3,
Qwen/Qwen2.5-Coder-3B-Instruct,mistralai/Mistral-7B-v0.1,
Qwen/Qwen2.5-Coder-3B-Instruct,mistralai/Mistral-7B-v0.3,
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/DLER-R1-1.5B-Research,
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/Llama-3.1-8B-Instruct-FP8,
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/OpenCodeReasoning-Nemotron-7B,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/OpenMath-Nemotron-1.5B,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/OpenMath2-Llama3.1-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,nvidia/OpenReasoning-Nemotron-1.5B,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,tiiuae/Falcon3-1B-Base,
Qwen/Qwen2.5-Coder-3B-Instruct,tiiuae/Falcon3-1B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Llama-3.2-1B,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Meta-Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-0.5B,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-0.5B-Instruct,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-1.5B,13.0
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-1.5B-Instruct,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-Math-1.5B,14.0
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen2.5-Math-7B-Instruct,15.0
Qwen/Qwen2.5-Coder-3B-Instruct,unsloth/Qwen3-1.7B-Base,14.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Math-1.5B,12.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Math-1.5B-Instruct,13.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Math-7B,2.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen2.5-Math-7B-Instruct,3.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen3-1.7B,11.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen3-1.7B-Base,12.0
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen3-4B,
Qwen/Qwen2.5-Coder-7B,Qwen/Qwen3-4B-Base,
Qwen/Qwen2.5-Coder-7B,SakanaAI/TinySwallow-1.5B,13.0
Qwen/Qwen2.5-Coder-7B,Writer/palmyra-mini,12.0
Qwen/Qwen2.5-Coder-7B,acon96/Home-Llama-3.2-3B,
Qwen/Qwen2.5-Coder-7B,aisingapore/Llama-SEA-LION-v3-8B,
Qwen/Qwen2.5-Coder-7B,allenai/Llama-3.1-Tulu-3-8B,
Qwen/Qwen2.5-Coder-7B,allenai/Llama-3.1-Tulu-3-8B-DPO,
Qwen/Qwen2.5-Coder-7B,allenai/Llama-3.1-Tulu-3-8B-SFT,
Qwen/Qwen2.5-Coder-7B,allenai/llama-3.1-tulu-2-8b,
Qwen/Qwen2.5-Coder-7B,arcee-ai/Llama-3.1-SuperNova-Lite,
Qwen/Qwen2.5-Coder-7B,arcee-ai/Meraj-Mini,3.0
Qwen/Qwen2.5-Coder-7B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Qwen/Qwen2.5-Coder-7B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,3.0
Qwen/Qwen2.5-Coder-7B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-7B,dnotitia/Smoothie-Qwen3-1.7B,12.0
Qwen/Qwen2.5-Coder-7B,dphn/Dolphin3.0-Llama3.1-8B,
Qwen/Qwen2.5-Coder-7B,google/gemma-2-2b,
Qwen/Qwen2.5-Coder-7B,google/gemma-2-2b-it,
Qwen/Qwen2.5-Coder-7B,google/gemma-2-2b-jpn-it,
Qwen/Qwen2.5-Coder-7B,inference-net/Schematron-3B,
Qwen/Qwen2.5-Coder-7B,meta-llama/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-7B,meta-llama/Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Coder-7B,meta-llama/Llama-3.2-1B,
Qwen/Qwen2.5-Coder-7B,meta-llama/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Coder-7B,meta-llama/Llama-3.2-3B,
Qwen/Qwen2.5-Coder-7B,meta-llama/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Coder-7B,meta-llama/Llama-Guard-3-8B,
Qwen/Qwen2.5-Coder-7B,meta-llama/Meta-Llama-3-8B,
Qwen/Qwen2.5-Coder-7B,meta-llama/Meta-Llama-3-8B-Instruct,
Qwen/Qwen2.5-Coder-7B,meta-llama/Meta-Llama-3.2-3B,
Qwen/Qwen2.5-Coder-7B,microsoft/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Coder-7B,microsoft/UserLM-8b,
Qwen/Qwen2.5-Coder-7B,mistralai/Mistral-7B-Instruct-v0.2,
Qwen/Qwen2.5-Coder-7B,mistralai/Mistral-7B-Instruct-v0.3,
Qwen/Qwen2.5-Coder-7B,mistralai/Mistral-7B-v0.1,
Qwen/Qwen2.5-Coder-7B,mistralai/Mistral-7B-v0.3,
Qwen/Qwen2.5-Coder-7B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Qwen/Qwen2.5-Coder-7B,nvidia/DLER-R1-1.5B-Research,
Qwen/Qwen2.5-Coder-7B,nvidia/Llama-3.1-8B-Instruct-FP8,
Qwen/Qwen2.5-Coder-7B,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Qwen/Qwen2.5-Coder-7B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,3.0
Qwen/Qwen2.5-Coder-7B,nvidia/OpenCodeReasoning-Nemotron-7B,3.0
Qwen/Qwen2.5-Coder-7B,nvidia/OpenMath-Nemotron-1.5B,13.0
Qwen/Qwen2.5-Coder-7B,nvidia/OpenMath2-Llama3.1-8B,
Qwen/Qwen2.5-Coder-7B,nvidia/OpenReasoning-Nemotron-1.5B,12.0
Qwen/Qwen2.5-Coder-7B,tiiuae/Falcon3-1B-Base,
Qwen/Qwen2.5-Coder-7B,tiiuae/Falcon3-1B-Instruct,
Qwen/Qwen2.5-Coder-7B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Coder-7B,unsloth/Llama-3.1-8B,
Qwen/Qwen2.5-Coder-7B,unsloth/Llama-3.2-1B,
Qwen/Qwen2.5-Coder-7B,unsloth/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Coder-7B,unsloth/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Coder-7B,unsloth/Meta-Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Coder-7B,unsloth/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Coder-7B,unsloth/Qwen2.5-0.5B,13.0
Qwen/Qwen2.5-Coder-7B,unsloth/Qwen2.5-0.5B-Instruct,12.0
Qwen/Qwen2.5-Coder-7B,unsloth/Qwen2.5-1.5B,12.0
Qwen/Qwen2.5-Coder-7B,unsloth/Qwen2.5-1.5B-Instruct,13.0
Qwen/Qwen2.5-Coder-7B,unsloth/Qwen2.5-Math-1.5B,13.0
Qwen/Qwen2.5-Coder-7B,unsloth/Qwen2.5-Math-7B-Instruct,4.0
Qwen/Qwen2.5-Coder-7B,unsloth/Qwen3-1.7B-Base,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-1.5B-Instruct,1.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-7B,12.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen2.5-Math-7B-Instruct,13.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-1.7B,11.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-1.7B-Base,12.0
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-4B,
Qwen/Qwen2.5-Math-1.5B,Qwen/Qwen3-4B-Base,
Qwen/Qwen2.5-Math-1.5B,SakanaAI/TinySwallow-1.5B,3.0
Qwen/Qwen2.5-Math-1.5B,Writer/palmyra-mini,2.0
Qwen/Qwen2.5-Math-1.5B,acon96/Home-Llama-3.2-3B,
Qwen/Qwen2.5-Math-1.5B,aisingapore/Llama-SEA-LION-v3-8B,
Qwen/Qwen2.5-Math-1.5B,allenai/Llama-3.1-Tulu-3-8B,
Qwen/Qwen2.5-Math-1.5B,allenai/Llama-3.1-Tulu-3-8B-DPO,
Qwen/Qwen2.5-Math-1.5B,allenai/Llama-3.1-Tulu-3-8B-SFT,
Qwen/Qwen2.5-Math-1.5B,allenai/llama-3.1-tulu-2-8b,
Qwen/Qwen2.5-Math-1.5B,arcee-ai/Llama-3.1-SuperNova-Lite,
Qwen/Qwen2.5-Math-1.5B,arcee-ai/Meraj-Mini,13.0
Qwen/Qwen2.5-Math-1.5B,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Qwen/Qwen2.5-Math-1.5B,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,13.0
Qwen/Qwen2.5-Math-1.5B,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Math-1.5B,dnotitia/Smoothie-Qwen3-1.7B,12.0
Qwen/Qwen2.5-Math-1.5B,dphn/Dolphin3.0-Llama3.1-8B,
Qwen/Qwen2.5-Math-1.5B,google/gemma-2-2b,
Qwen/Qwen2.5-Math-1.5B,google/gemma-2-2b-it,
Qwen/Qwen2.5-Math-1.5B,google/gemma-2-2b-jpn-it,
Qwen/Qwen2.5-Math-1.5B,inference-net/Schematron-3B,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Llama-3.1-8B,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Llama-3.2-1B,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Llama-3.2-3B,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Llama-Guard-3-8B,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Meta-Llama-3-8B,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Meta-Llama-3-8B-Instruct,
Qwen/Qwen2.5-Math-1.5B,meta-llama/Meta-Llama-3.2-3B,
Qwen/Qwen2.5-Math-1.5B,microsoft/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Math-1.5B,microsoft/UserLM-8b,
Qwen/Qwen2.5-Math-1.5B,mistralai/Mistral-7B-Instruct-v0.2,
Qwen/Qwen2.5-Math-1.5B,mistralai/Mistral-7B-Instruct-v0.3,
Qwen/Qwen2.5-Math-1.5B,mistralai/Mistral-7B-v0.1,
Qwen/Qwen2.5-Math-1.5B,mistralai/Mistral-7B-v0.3,
Qwen/Qwen2.5-Math-1.5B,nvidia/DLER-Llama-Nemotron-8B-Merge-Research,
Qwen/Qwen2.5-Math-1.5B,nvidia/DLER-R1-1.5B-Research,
Qwen/Qwen2.5-Math-1.5B,nvidia/Llama-3.1-8B-Instruct-FP8,
Qwen/Qwen2.5-Math-1.5B,nvidia/Llama-3.1-Nemotron-Nano-8B-v1,
Qwen/Qwen2.5-Math-1.5B,nvidia/OpenCodeReasoning-Nemotron-1.1-7B,13.0
Qwen/Qwen2.5-Math-1.5B,nvidia/OpenCodeReasoning-Nemotron-7B,13.0
Qwen/Qwen2.5-Math-1.5B,nvidia/OpenMath-Nemotron-1.5B,1.0
Qwen/Qwen2.5-Math-1.5B,nvidia/OpenMath2-Llama3.1-8B,
Qwen/Qwen2.5-Math-1.5B,nvidia/OpenReasoning-Nemotron-1.5B,2.0
Qwen/Qwen2.5-Math-1.5B,tiiuae/Falcon3-1B-Base,
Qwen/Qwen2.5-Math-1.5B,tiiuae/Falcon3-1B-Instruct,
Qwen/Qwen2.5-Math-1.5B,unsloth/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Math-1.5B,unsloth/Llama-3.1-8B,
Qwen/Qwen2.5-Math-1.5B,unsloth/Llama-3.2-1B,
Qwen/Qwen2.5-Math-1.5B,unsloth/Llama-3.2-1B-Instruct,
Qwen/Qwen2.5-Math-1.5B,unsloth/Llama-3.2-3B-Instruct,
Qwen/Qwen2.5-Math-1.5B,unsloth/Meta-Llama-3.1-8B-Instruct,
Qwen/Qwen2.5-Math-1.5B,unsloth/Phi-3.5-mini-instruct,
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-0.5B,13.0
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-0.5B-Instruct,12.0
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-1.5B,2.0
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-1.5B-Instruct,3.0
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-Math-1.5B,1.0
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen2.5-Math-7B-Instruct,14.0
Qwen/Qwen2.5-Math-1.5B,unsloth/Qwen3-1.7B-Base,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-7B,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen2.5-Math-7B-Instruct,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-1.7B,12.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-1.7B-Base,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-4B,
Qwen/Qwen2.5-Math-1.5B-Instruct,Qwen/Qwen3-4B-Base,
Qwen/Qwen2.5-Math-1.5B-Instruct,SakanaAI/TinySwallow-1.5B,4.0
Qwen/Qwen2.5-Math-1.5B-Instruct,Writer/palmyra-mini,3.0
Qwen/Qwen2.5-Math-1.5B-Instruct,acon96/Home-Llama-3.2-3B,
Qwen/Qwen2.5-Math-1.5B-Instruct,aisingapore/Llama-SEA-LION-v3-8B,
Qwen/Qwen2.5-Math-1.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B,
Qwen/Qwen2.5-Math-1.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B-DPO,
Qwen/Qwen2.5-Math-1.5B-Instruct,allenai/Llama-3.1-Tulu-3-8B-SFT,
Qwen/Qwen2.5-Math-1.5B-Instruct,allenai/llama-3.1-tulu-2-8b,
Qwen/Qwen2.5-Math-1.5B-Instruct,arcee-ai/Llama-3.1-SuperNova-Lite,
Qwen/Qwen2.5-Math-1.5B-Instruct,arcee-ai/Meraj-Mini,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,context-labs/Meta-Llama-3.1-8B-Instruct-FP16,
Qwen/Qwen2.5-Math-1.5B-Instruct,cooperleong00/Qwen2.5-7B-Instruct-Jailbroken,14.0
Qwen/Qwen2.5-Math-1.5B-Instruct,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,
Qwen/Qwen2.5-Math-1.5B-Instruct,dnotitia/Smoothie-Qwen3-1.7B,13.0
Qwen/Qwen2.5-Math-1.5B-Instruct,dphn/Dolphin3.0-Llama3.1-8B,
